site,ssp,period,variable,ens_mean
Gwangyang_Plant,ssp370,far,etccdi_txx,21.85
Gwangyang_Plant,ssp370,far,etccdi_wbgt,17.11
Gwangyang_Plant,ssp370,far,etccdi_wsdi,90.6
Gwangyang_Plant,ssp370,mid,etccdi_cdd,30.3
Gwangyang_Plant,ssp370,mid,etccdi_cwd,7.9
Gwangyang_Plant,ssp370,mid,etccdi_fd,0.3
Gwangyang_Plant,ssp370,mid,etccdi_r95p,607.83
Gwangyang_Plant,ssp370,mid,etccdi_rx1day,58.91
Gwangyang_Plant,ssp370,mid,etccdi_rx5day,96.37
Gwangyang_Plant,ssp370,mid,etccdi_sdii,17.7
Gwangyang_Plant,ssp370,mid,etccdi_su,0.1
Gwangyang_Plant,ssp370,mid,etccdi_tnn,11.71
Gwangyang_Plant,ssp370,mid,etccdi_tr,103.8
Gwangyang_Plant,ssp370,mid,etccdi_txx,20.08
Gwangyang_Plant,ssp370,mid,etccdi_wbgt,15.26
Gwangyang_Plant,ssp370,mid,etccdi_wsdi,50.9
Gwangyang_Plant,ssp370,near,etccdi_cdd,28.9
Gwangyang_Plant,ssp370,near,etccdi_cwd,6.9
Gwangyang_Plant,ssp370,near,etccdi_fd,0.0
Gwangyang_Plant,ssp370,near,etccdi_r95p,537.75
Gwangyang_Plant,ssp370,near,etccdi_rx1day,56.1
Gwangyang_Plant,ssp370,near,etccdi_rx5day,95.62
Gwangyang_Plant,ssp370,near,etccdi_sdii,18.07
