site,country,ssp,variable,period,ens_mean,ens_median,ens_p10,ens_p90,lat,lon
OCI_Dream_Seoul,KOR,ssp585,tasmax,baseline,28.2588,28.3505,25.8309,31.1566,37.5172,126.9
OCI_Dream_Seoul,KOR,ssp585,tasmin,baseline,6.8881,7.3466,5.2969,8.6245,37.5172,126.9
OCI_HQ_Seoul,KOR,ssp126,evspsbl,baseline,27.7291,27.7291,27.7291,27.7291,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp126,pr,baseline,39.5895,39.7136,35.0547,46.4427,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp126,prsn,baseline,0.9351,0.9351,0.9351,0.9351,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp126,sfcWind,baseline,2.532,2.532,2.532,2.532,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp126,tas,baseline,10.7107,10.806,9.447,11.8673,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp126,tasmax,baseline,28.1008,27.5056,25.6634,30.9916,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp126,tasmin,baseline,6.7893,7.2924,5.313,8.4702,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp245,evspsbl,baseline,27.1596,27.1596,27.1596,27.1596,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp245,pr,baseline,38.4562,38.1328,34.0023,45.9077,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp245,prsn,baseline,0.9791,0.9791,0.9791,0.9791,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp245,sfcWind,baseline,2.544,2.544,2.544,2.544,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp245,tas,baseline,10.7517,10.6798,9.5061,12.0892,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp245,tasmax,baseline,28.1111,27.6745,25.6782,31.2761,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp245,tasmin,baseline,6.841,7.4713,5.308,8.4098,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp370,evspsbl,baseline,27.2163,27.2163,27.2163,27.2163,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp370,pr,baseline,37.1992,38.3221,32.7967,44.7452,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp370,prsn,baseline,0.6792,0.6792,0.6792,0.6792,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp370,sfcWind,baseline,2.4506,2.4506,2.4506,2.4506,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp370,tas,baseline,10.6334,10.5499,9.174,11.9342,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp370,tasmax,baseline,28.0629,27.4584,25.6339,31.3408,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp370,tasmin,baseline,6.45,7.3179,5.0407,8.3685,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp585,evspsbl,baseline,28.2354,28.2354,28.2354,28.2354,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp585,pr,baseline,38.4801,39.6368,30.0249,47.4838,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp585,prsn,baseline,0.7651,0.7651,0.7651,0.7651,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp585,sfcWind,baseline,2.5338,2.5338,2.5338,2.5338,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp585,tas,baseline,10.8932,10.9146,9.4381,12.1754,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp585,tasmax,baseline,28.2588,28.3505,25.8309,31.1566,37.5649,126.9793
OCI_HQ_Seoul,KOR,ssp585,tasmin,baseline,6.8881,7.3466,5.2969,8.6245,37.5649,126.9793
OCI_Japan_Tokyo,JPN,ssp126,evspsbl,baseline,35.2877,35.2877,35.2877,35.2877,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp126,pr,baseline,59.1571,60.221,46.5526,69.4033,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp126,prsn,baseline,0.6102,0.6102,0.6102,0.6102,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp126,sfcWind,baseline,2.4919,2.4919,2.4919,2.4919,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp126,tas,baseline,14.8369,15.2533,12.6989,17.5156,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp126,tasmax,baseline,27.6515,27.2112,25.8514,29.3637,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp126,tasmin,baseline,12.0277,12.8926,8.8572,14.9253,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp245,evspsbl,baseline,35.4026,35.4026,35.4026,35.4026,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp245,pr,baseline,60.9971,62.5651,45.0617,72.9573,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp245,prsn,baseline,0.5054,0.5054,0.5054,0.5054,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp245,sfcWind,baseline,2.512,2.512,2.512,2.512,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp245,tas,baseline,14.8285,15.0563,12.5508,17.6116,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp245,tasmax,baseline,27.5283,27.4207,25.8049,29.0826,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp245,tasmin,baseline,12.0503,12.7046,8.7201,15.2627,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp370,evspsbl,baseline,34.6428,34.6428,34.6428,34.6428,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp370,pr,baseline,60.1691,60.7741,44.6349,72.6657,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp370,prsn,baseline,0.4509,0.4509,0.4509,0.4509,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp370,sfcWind,baseline,2.4648,2.4648,2.4648,2.4648,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp370,tas,baseline,14.6287,14.7333,12.2806,17.4247,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp370,tasmax,baseline,27.5054,27.0604,25.8571,29.1702,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp370,tasmin,baseline,11.4753,12.0398,7.8995,14.145,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp585,evspsbl,baseline,35.1847,35.1847,35.1847,35.1847,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp585,pr,baseline,60.1864,59.6541,47.0499,71.8453,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp585,prsn,baseline,0.5789,0.5789,0.5789,0.5789,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp585,sfcWind,baseline,2.4857,2.4857,2.4857,2.4857,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp585,tas,baseline,15.1809,15.3461,12.5124,17.8237,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp585,tasmax,baseline,27.5807,27.6879,26.0889,29.0897,35.6762,139.6503
OCI_Japan_Tokyo,JPN,ssp585,tasmin,baseline,12.0959,13.0356,8.7352,15.221,35.6762,139.6503
OCI_RnD_Seongnam,KOR,ssp126,evspsbl,baseline,28.3471,28.3471,28.3471,28.3471,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp126,pr,baseline,41.2142,41.3038,36.4137,46.8486,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp126,prsn,baseline,0.5254,0.5254,0.5254,0.5254,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp126,sfcWind,baseline,3.7591,3.7591,3.7591,3.7591,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp126,tas,baseline,11.1563,11.2435,9.6162,12.7946,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp126,tasmax,baseline,28.147,28.6173,26.1764,31.272,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp126,tasmin,baseline,7.5013,8.0197,4.8926,10.7048,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp245,evspsbl,baseline,28.5819,28.5819,28.5819,28.5819,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp245,pr,baseline,39.6225,39.0668,34.2625,46.2956,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp245,prsn,baseline,0.4978,0.4978,0.4978,0.4978,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp245,sfcWind,baseline,3.7748,3.7748,3.7748,3.7748,37.3219,127.119
OCI_RnD_Seongnam,KOR,ssp245,tas,baseline,11.1896,11.1462,9.7989,12.8966,37.3219,127.119
