Site,Variable,Scenario,2030,2035,2040,2045
Shandong OCI (ZZ),Pr(mm/d),SSP2-4.5,1.894,2.798,2.29,2.459
Shandong OCI (ZZ),Wind(m/s),SSP2-4.5,2.894,2.796,2.874,2.754
Shandong OCI (ZZ),Huss(g/kg),SSP2-4.5,7.561,7.961,8.101,8.202
Shandong OCI (ZZ),Rsds(W/m2),SSP2-4.5,180.607,179.871,186.173,186.136
Shandong OCI (ZZ),Tmean(C),SSP3-7.0,14.44,15.505,15.348,15.262
Shandong OCI (ZZ),Tmax(C),SSP3-7.0,19.025,20.265,20.205,20.007
Shandong OCI (ZZ),Tmin(C),SSP3-7.0,10.251,11.135,10.921,10.906
Shandong OCI (ZZ),Pr(mm/d),SSP3-7.0,2.574,2.242,2.589,2.474
Shandong OCI (ZZ),Wind(m/s),SSP3-7.0,2.767,2.755,2.777,2.795
Shandong OCI (ZZ),Huss(g/kg),SSP3-7.0,7.924,8.199,8.268,8.259
Shandong OCI (ZZ),Rsds(W/m2),SSP3-7.0,169.634,171.443,173.606,174.797
Shandong OCI (ZZ),Tmean(C),SSP5-8.5,15.514,15.699,15.948,16.959
Shandong OCI (ZZ),Tmax(C),SSP5-8.5,20.183,20.661,20.784,22.241
Shandong OCI (ZZ),Tmin(C),SSP5-8.5,11.144,11.084,11.442,12.069
Shandong OCI (ZZ),Pr(mm/d),SSP5-8.5,2.917,1.987,2.983,1.841
Shandong OCI (ZZ),Wind(m/s),SSP5-8.5,2.819,2.816,2.827,2.935
Shandong OCI (ZZ),Huss(g/kg),SSP5-8.5,8.207,7.359,7.96,7.618
Shandong OCI (ZZ),Rsds(W/m2),SSP5-8.5,184.366,186.205,186.716,193.013
MaSteel OCI (MAS),Tmean(C),SSP1-2.6,15.618,15.596,15.061,15.826
MaSteel OCI (MAS),Tmax(C),SSP1-2.6,19.972,19.787,19.098,20.07
MaSteel OCI (MAS),Tmin(C),SSP1-2.6,11.511,11.741,11.319,11.834
MaSteel OCI (MAS),Pr(mm/d),SSP1-2.6,3.814,4.121,5.289,4.311
MaSteel OCI (MAS),Wind(m/s),SSP1-2.6,2.651,2.611,2.681,2.638
MaSteel OCI (MAS),Huss(g/kg),SSP1-2.6,9.554,10.085,9.913,10.121
MaSteel OCI (MAS),Rsds(W/m2),SSP1-2.6,177.505,173.775,176.102,180.046
MaSteel OCI (MAS),Tmean(C),SSP2-4.5,14.685,15.234,15.663,15.509
MaSteel OCI (MAS),Tmax(C),SSP2-4.5,18.72,19.261,19.901,19.73
MaSteel OCI (MAS),Tmin(C),SSP2-4.5,11.009,11.432,11.74,11.639
MaSteel OCI (MAS),Pr(mm/d),SSP2-4.5,4.907,4.669,5.171,4.702
MaSteel OCI (MAS),Wind(m/s),SSP2-4.5,2.649,2.624,2.589,2.56
MaSteel OCI (MAS),Huss(g/kg),SSP2-4.5,9.943,9.916,10.282,10.051
MaSteel OCI (MAS),Rsds(W/m2),SSP2-4.5,165.357,167.141,173.416,171.709
MaSteel OCI (MAS),Tmean(C),SSP3-7.0,14.735,15.476,15.353,15.417
MaSteel OCI (MAS),Tmax(C),SSP3-7.0,18.857,19.572,19.725,19.734
MaSteel OCI (MAS),Tmin(C),SSP3-7.0,10.958,11.725,11.39,11.548
MaSteel OCI (MAS),Pr(mm/d),SSP3-7.0,4.783,4.564,4.448,4.935
MaSteel OCI (MAS),Wind(m/s),SSP3-7.0,2.63,2.606,2.57,2.547
MaSteel OCI (MAS),Huss(g/kg),SSP3-7.0,9.695,10.285,10.142,10.319
MaSteel OCI (MAS),Rsds(W/m2),SSP3-7.0,156.97,158.146,161.019,161.259
MaSteel OCI (MAS),Tmean(C),SSP5-8.5,15.778,15.395,15.851,16.245
MaSteel OCI (MAS),Tmax(C),SSP5-8.5,20.122,19.913,20.114,20.608
MaSteel OCI (MAS),Tmin(C),SSP5-8.5,11.735,11.275,11.907,12.23
MaSteel OCI (MAS),Pr(mm/d),SSP5-8.5,4.272,3.355,4.814,4.463
MaSteel OCI (MAS),Wind(m/s),SSP5-8.5,2.676,2.705,2.62,2.612
MaSteel OCI (MAS),Huss(g/kg),SSP5-8.5,9.868,9.133,10.048,10.41
MaSteel OCI (MAS),Rsds(W/m2),SSP5-8.5,174.155,173.221,173.08,174.885
Jianyang Carbon (ZZ),Tmean(C),SSP1-2.6,15.595,16.241,15.195,16.32
Jianyang Carbon (ZZ),Tmax(C),SSP1-2.6,20.465,21.131,19.76,21.139
Jianyang Carbon (ZZ),Tmin(C),SSP1-2.6,11.046,11.632,10.865,11.753
Jianyang Carbon (ZZ),Pr(mm/d),SSP1-2.6,2.293,2.003,2.498,2.293
Jianyang Carbon (ZZ),Wind(m/s),SSP1-2.6,2.927,2.875,2.875,2.829
Jianyang Carbon (ZZ),Huss(g/kg),SSP1-2.6,7.54,7.615,7.798,7.853
Jianyang Carbon (ZZ),Rsds(W/m2),SSP1-2.6,190.302,190.355,189.344,195.71
Jianyang Carbon (ZZ),Tmean(C),SSP2-4.5,15.295,15.097,15.702,15.749
Jianyang Carbon (ZZ),Tmax(C),SSP2-4.5,20.025,19.524,20.48,20.321
Jianyang Carbon (ZZ),Tmin(C),SSP2-4.5,10.809,10.911,11.266,11.427
Jianyang Carbon (ZZ),Pr(mm/d),SSP2-4.5,1.894,2.798,2.29,2.459
Jianyang Carbon (ZZ),Wind(m/s),SSP2-4.5,2.894,2.796,2.874,2.754
