Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
Korea,Gunsan Plant,SSP2-4.5,2050s,27.7,5.2,1.3,457.18,43.37,65.77,14.26,5.2,8.96,49.0,18.94,13.84,54.3
Korea,Gunsan Plant,SSP2-4.5,2060s,31.9,5.4,2.3,409.33,38.73,58.85,13.24,4.2,9.02,52.4,19.01,13.85,56.8
Korea,Gunsan Plant,SSP2-4.5,2070s,33.4,5.3,0.3,399.49,38.14,63.97,13.3,7.7,9.06,59.6,19.24,14.12,57.9
Korea,Gunsan Plant,SSP2-4.5,2080s,35.6,5.2,0.7,249.43,33.55,54.8,12.72,12.8,9.42,69.7,19.81,14.49,70.0
Korea,Gunsan Plant,SSP2-4.5,2090s,27.4,5.1,2.0,347.9,36.72,55.53,12.46,11.6,9.66,72.3,19.64,14.33,70.5
Korea,Gunsan Plant,SSP5-8.5,2020s,29.4,5.7,9.1,279.49,32.29,52.35,11.72,0.1,7.05,13.5,17.35,12.22,10.3
Korea,Gunsan Plant,SSP5-8.5,2030s,36.0,5.7,5.3,190.65,30.78,47.9,11.47,1.0,7.63,21.2,17.89,12.64,18.2
Korea,Gunsan Plant,SSP5-8.5,2040s,28.5,5.4,2.0,524.9,41.16,65.42,14.42,1.5,8.68,37.8,18.7,13.53,39.9
Korea,Gunsan Plant,SSP5-8.5,2050s,31.4,5.7,1.0,460.28,43.25,69.35,13.95,6.2,9.27,59.9,19.43,14.21,57.5
Korea,Gunsan Plant,SSP5-8.5,2060s,34.9,6.9,0.9,501.38,39.78,65.6,14.53,21.0,9.8,72.8,19.81,14.63,66.4
Korea,Gunsan Plant,SSP5-8.5,2070s,30.8,5.5,0.0,537.01,44.33,68.88,15.2,42.9,10.61,94.4,20.59,15.4,85.6
Korea,Gunsan Plant,SSP5-8.5,2080s,34.4,6.0,0.0,578.2,47.91,72.73,15.26,66.9,11.76,115.0,21.67,16.34,105.2
Korea,Gunsan Plant,SSP5-8.5,2090s,32.1,6.0,0.0,572.34,48.82,76.62,16.04,86.0,12.46,129.7,22.33,17.12,119.1
Korea,Gwangyang Plant,SSP2-4.5,2020s,25.2,7.1,0.4,393.52,49.05,78.13,16.21,0.1,10.07,67.3,18.74,13.88,13.6
Korea,Gwangyang Plant,SSP2-4.5,2030s,27.2,6.6,0.2,502.68,50.95,84.71,15.51,0.1,10.62,78.6,19.25,14.34,15.6
Korea,Gwangyang Plant,SSP2-4.5,2040s,28.0,8.5,0.0,632.1,56.0,94.35,18.48,0.2,11.4,96.4,19.81,14.95,39.7
Korea,Gwangyang Plant,SSP2-4.5,2050s,22.5,6.6,0.0,562.31,57.02,89.59,17.53,4.5,12.04,108.3,20.35,15.55,57.6
Korea,Gwangyang Plant,SSP2-4.5,2060s,28.5,9.8,0.0,767.16,58.26,102.0,19.48,5.1,12.13,108.9,20.38,15.57,57.2
Korea,Gwangyang Plant,SSP2-4.5,2070s,31.5,7.7,0.0,703.34,59.02,96.08,18.88,6.8,12.1,113.3,20.57,15.75,61.0
Korea,Gwangyang Plant,SSP2-4.5,2080s,28.6,7.2,0.0,706.17,60.13,104.22,18.42,14.1,12.48,129.3,20.92,16.16,72.9
Korea,Gwangyang Plant,SSP2-4.5,2090s,31.7,6.6,0.0,576.85,55.09,85.26,17.72,10.0,12.75,124.2,20.86,15.94,73.7
Korea,Gwangyang Plant,SSP5-8.5,2020s,25.6,8.5,0.0,486.15,49.3,83.83,15.54,0.0,10.18,68.9,18.81,14.01,12.2
Korea,Gwangyang Plant,SSP5-8.5,2030s,31.1,6.9,0.2,446.8,49.85,86.04,17.35,0.0,10.77,87.2,19.4,14.51,27.3
Korea,Gwangyang Plant,SSP5-8.5,2040s,32.8,8.5,0.0,548.45,50.64,87.56,17.86,1.5,11.81,98.7,20.04,15.19,43.5
Korea,Gwangyang Plant,SSP5-8.5,2050s,33.8,7.3,0.0,608.7,57.85,96.31,18.51,6.7,12.42,119.9,20.95,15.97,64.7
Korea,Gwangyang Plant,SSP5-8.5,2060s,29.8,7.0,0.0,671.54,59.2,100.14,18.42,19.5,12.76,126.5,21.02,16.31,72.4
Korea,Gwangyang Plant,SSP5-8.5,2070s,23.2,7.4,0.0,877.53,66.13,110.16,20.98,43.1,13.58,142.0,21.85,17.06,95.4
